Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Acacias,40.4040749,-3.7059572,Metro Acacias,40.40378672197676,-3.706528777705743,Metro Station
Acacias,40.4040749,-3.7059572,Metro Embajadores,40.404755238327205,-3.7024689241444477,Metro Station
Atocha,40.40068665,-3.68239115386921,Metro Menéndez Pelayo,40.40446250842396,-3.6808060238632576,Metro Station
Atocha,40.40068665,-3.68239115386921,L1 Menendez Pelayo,40.404754,-3.681592,Metro Station
Atocha,40.40068665,-3.68239115386921,Calle del comercio,40.402995,-3.681692,Road
Delicias,40.39729215,-3.68949484969473,Metro Delicias,40.399173827389426,-3.6941125788631264,Metro Station
Delicias,40.39729215,-3.68949484969473,Metro Arganzuela-Planetario,40.393138028533095,-3.6888664159146485,Metro Station
Delicias,40.39729215,-3.68949484969473,Metro Delicias (Calle de Cáceres Exit),40.39857003088331,-3.6942869424819946,Metro Station
Delicias,40.39729215,-3.68949484969473,"La Plaza de Toros de Las Ventas  hola61,",40.401125,-3.690389,Metro Station
Legazpi,40.3911717,-3.6951902,Metro Legazpi,40.3915305822024,-3.6947881264027895,Metro Station
Palos de Moguer,40.40392685,-3.69556132795742,Metro Palos de la Frontera,40.40304742224402,-3.6941193644894432,Metro Station
Alameda de Osuna,40.4575814,-3.5879745,Metro Alameda de Osuna,40.457348968548516,-3.5881976038306957,Metro Station
Timon,40.4735686,-3.5821732,Metro Barajas,40.47576755570199,-3.5825351334109325,Metro Station
Buenavista,40.3728306,-3.7430863,Metro San Francisco,40.37242888804792,-3.740448056474634,Metro Station
Opanel,40.3869032,-3.7231858,Metro Opañel,40.38586411039761,-3.7212014780049127,Metro Station
Opanel,40.3869032,-3.7231858,Publimetro,40.38608,-3.718997,Metro Station
Opanel,40.3869032,-3.7231858,Metro Plaza Elíptica,40.38584590342171,-3.7212296875969,Metro Station
Puerta Bonita,40.3864775,-3.7345594,Metro Oporto,40.38857314059954,-3.7310854463857526,Metro Station
San Isidro,40.39777,-3.71855,Metro Marqués de Vadillo,40.39732483025866,-3.7154725209025163,Metro Station
Vista Alegre,40.3887883,-3.7400441,Metro Carpetana,40.38994312816826,-3.7422803588082147,Metro Station
Vista Alegre,40.3887883,-3.7400441,Metro Vista Alegre,40.3888311376519,-3.7399784665537417,Metro Station
Vista Alegre,40.3887883,-3.7400441,Metro Carabanchel,40.38788000379989,-3.74490424990654,Metro Station
Cortes,40.4143476,-3.69852518277385,Metro Sol,40.416881555677016,-3.703038460187899,Metro Station
Cortes,40.4143476,-3.69852518277385,Metro Sevilla,40.41789417619993,-3.6994047652313466,Metro Station
Cortes,40.4143476,-3.69852518277385,Metro Antón Martín,40.41192762537371,-3.6980581283569336,Metro Station
Cortes,40.4143476,-3.69852518277385,Metro Madrid Línea 1,40.411555847534444,-3.697353191046533,Train
Cortes,40.4143476,-3.69852518277385,Metro Las Suertes,40.41163055782746,-3.697348236444532,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Tirso de Molina,40.41238561913413,-3.7049683207761896,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Lavapiés,40.40839970637966,-3.7007423219895803,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Antón Martín,40.41192762537371,-3.6980581283569336,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Madrid Línea 3,40.40992829279583,-3.7024033953240454,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Madrid Línea 1,40.411555847534444,-3.697353191046533,Train
Embajadores,40.40968055,-3.70164442641322,Metro Las Suertes,40.41163055782746,-3.697348236444532,Metro Station
Justicia,40.4239569,-3.69574732085505,Metro Chueca,40.42266353598151,-3.6976138174242887,Metro Station
Justicia,40.4239569,-3.69574732085505,Metro Alonso Martínez,40.4275762409139,-3.69576088323938,Metro Station
Justicia,40.4239569,-3.69574732085505,Metro Colón,40.425543923665536,-3.691180944442749,Metro Station
Justicia,40.4239569,-3.69574732085505,Metro L8 Nuevos Ministerios-Aeropuerto,40.42680676852571,-3.691759754353641,Metro Station
Justicia,40.4239569,-3.69574732085505,Metro Madrid Línea 4,40.427057321765034,-3.6933539376326254,Metro Station
Sol,40.4178272,-3.70222208991507,Metro Sol,40.416881555677016,-3.703038460187899,Metro Station
Sol,40.4178272,-3.70222208991507,Metro Callao,40.42016543090694,-3.7057899845796194,Metro Station
Sol,40.4178272,-3.70222208991507,Metro Sevilla,40.41789417619993,-3.6994047652313466,Metro Station
Sol,40.4178272,-3.70222208991507,Metro Gran Vía,40.420020065824396,-3.7017938283759775,Metro Station
Sol,40.4178272,-3.70222208991507,Línea 3 Moncloa-Sol-Legazpi-Villaverde Alto,40.4171608157956,-3.703769807752067,Metro Station
Sol,40.4178272,-3.70222208991507,metro station of JUSTICE,40.420852,-3.705544,Metro Station
Sol,40.4178272,-3.70222208991507,andenlinea3sol,40.417579650878906,-3.7041075229644775,Metro Station
Universidad,40.4252644,-3.70660596905568,Metro Tribunal,40.42620465394494,-3.70112619682605,Metro Station
Universidad,40.4252644,-3.70660596905568,Metro Noviciado,40.42477740373028,-3.7073322247181424,Metro Station
Universidad,40.4252644,-3.70660596905568,L 10 Metro Plaza De España,40.42587795600105,-3.705137469839676,Metro Station
Universidad,40.4252644,-3.70660596905568,Hell's Kitchen,40.423362,-3.71139,Metro Station
Universidad,40.4252644,-3.70660596905568,L1 Bilbao,40.426234,-3.70093,Metro Station
Universidad,40.4252644,-3.70660596905568,metro station of JUSTICE,40.420852,-3.705544,Metro Station
Universidad,40.4252644,-3.70660596905568,El Abismo De Helm,40.42621538053006,-3.7009176797847605,Metro Station
Castilla,40.4370393,-3.6773899,Metro Avenida de América,40.43797111884382,-3.678147845470835,Metro Station
Prosperidad,40.4437817,-3.6750252,Metro Prosperidad,40.444189369088384,-3.674881160259247,Metro Station
Prosperidad,40.4437817,-3.6750252,Metro Cruz del Rayo,40.446165585983714,-3.6780884128598275,Metro Station
Prosperidad,40.4437817,-3.6750252,Cruz Del Rayo,40.44599018791559,-3.6776525758488208,Metro Station
Almagro,40.4313814,-3.69301420454145,Metro Alonso Martínez,40.4275762409139,-3.69576088323938,Metro Station
Almagro,40.4313814,-3.69301420454145,Metro Rubén Darío,40.43317518687901,-3.6892629725673958,Metro Station
Almagro,40.4313814,-3.69301420454145,Metro Estación de Chamberí,40.43229458790591,-3.6976372337750667,Metro Station
Almagro,40.4313814,-3.69301420454145,Andén Cero,40.43233402736354,-3.697678957307451,History Museum
Almagro,40.4313814,-3.69301420454145,L10 Hospital Infanta Sofía-Puerta Del Sur,40.432262,-3.694981,Metro Station
Almagro,40.4313814,-3.69301420454145,Metro Madrid Línea 4,40.427057321765034,-3.6933539376326254,Metro Station
Arapiles,40.43418655,-3.70792253324742,Metro Quevedo,40.433347408219355,-3.704498582773271,Metro Station
Arapiles,40.43418655,-3.70792253324742,Acton town,40.43163,-3.70523,Metro Station
Arapiles,40.43418655,-3.70792253324742,Alfombra roja en el Metro,40.435222,-3.710288,Metro Station
Gaztambide,40.43467955,-3.71490270979186,Metro Moncloa,40.434569014631734,-3.719026763417271,Metro Station
Gaztambide,40.43467955,-3.71490270979186,Metro Argüelles,40.430423719598075,-3.7159350514411926,Metro Station
Gaztambide,40.43467955,-3.71490270979186,Alfombra roja en el Metro,40.435222,-3.710288,Metro Station
Rios Rosas,40.44279905,-3.69783517044679,Metro Ríos Rosas,40.44205008363877,-3.7011678971670556,Metro Station
Rios Rosas,40.44279905,-3.69783517044679,Metro Alonso Cano,40.43843711893367,-3.6986463587574305,Metro Station
Rios Rosas,40.44279905,-3.69783517044679,"L6 Nuevos Ministerios, Andén 2",40.447266,-3.698131,Metro Station
Rios Rosas,40.44279905,-3.69783517044679,Numi,40.4425334,-3.693773,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Metro Bilbao,40.429021296323235,-3.701867035011236,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Metro Estación de Chamberí,40.43229458790591,-3.6976372337750667,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Metro Quevedo,40.433347408219355,-3.704498582773271,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Metro Iglesia,40.43490906989403,-3.698559992164844,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Andén Cero,40.43233402736354,-3.697678957307451,History Museum
Trafalgar,40.4332491,-3.70124589579836,En el metro de Japon,40.4292083,-3.6995373,Metro Station
Trafalgar,40.4332491,-3.70124589579836,Acton town,40.43163,-3.70523,Metro Station
Vallehermoso,40.4430572,-3.71168099208445,Metro Guzmán el Bueno,40.44597860615664,-3.7133380337054724,Metro Station
Vallehermoso,40.4430572,-3.71168099208445,Metro Islas Filipinas,40.43914725897487,-3.7130624055862427,Metro Station
Vallehermoso,40.4430572,-3.71168099208445,Metro Madrid Línea 4,40.44386583879446,-3.717378699162302,Metro Station
Colina,40.45824765,-3.65970566684994,Metro Arturo Soria,40.455980557578414,-3.656191295874248,Metro Station
Concepcion,40.4391188,-3.64889625803865,Metro Barrio de la Concepción,40.439007934265824,-3.6518846864534535,Metro Station
Pueblo Nuevo,40.4350329,-3.644171,Metro Pueblo Nuevo,40.43525889806028,-3.6437231024995285,Metro Station
Pueblo Nuevo,40.4350329,-3.644171,Metro Quintana,40.43308193643674,-3.648254871368408,Metro Station
Quintana,40.4331142,-3.6481458,Metro Pueblo Nuevo,40.43525889806028,-3.6437231024995285,Metro Station
Quintana,40.4331142,-3.6481458,Metro Quintana,40.43308193643674,-3.648254871368408,Metro Station
San Juan Bautista,40.4508788,-3.6559241083633,Metro Avenida de la Paz,40.453198535163935,-3.6609598781031703,Metro Station
San Juan Bautista,40.4508788,-3.6559241083633,Parada Emt #702,40.44751739501953,-3.6566760540008545,Metro Station
San Pascual,40.44292125,-3.6539227501898,Metro Barrio de la Concepción,40.439007934265824,-3.6518846864534535,Metro Station
Ventas,40.4240502,-3.65030377813628,Metro La Elipa,40.426367193781566,-3.6509399792753783,Metro Station
Ventas,40.4240502,-3.65030377813628,Metro La Elipa Linea 2,40.42631809404762,-3.6503459766440187,Metro Station
Mirasierra,40.4940069,-3.7140332,Metro Mirasierra,40.49104419815214,-3.7163527270381906,Metro Station
Mirasierra,40.4940069,-3.7140332,Deposito Sacedal - Metro de Madrid,40.4916250705719,-3.7179869413375854,Metro Station
Mirasierra,40.4940069,-3.7140332,Chamartín Linea C-4,40.49256,-3.70995,Metro Station
Penagrande,40.4759519,-3.7160518,Metro Peñagrande,40.476051813828526,-3.716080096524775,Metro Station
Pilar,40.4772692,-3.7055114,Metro Barrio del Pilar,40.477920946116186,-3.703991174697876,Metro Station
Apostol Santiago,40.4762043,-3.658016311573,Metro Hortaleza,40.47217406370238,-3.6559621378284413,Metro Station
Apostol Santiago,40.4762043,-3.658016311573,Metro Manoteras,40.4769457048624,-3.662846088409424,Metro Station
Canillas,40.4618893,-3.6433517,Metro Esperanza,40.45963383573494,-3.645787239074707,Metro Station
Pinar del Rey,40.4678284,-3.6486781,Metro Pinar del Rey,40.46802857995154,-3.648293522550561,Metro Station
Piovera,40.449995,-3.612979,Metro Canillejas,40.446664172311586,-3.6103852038644666,Metro Station
Aluche,40.3879228,-3.7548539,Puarte de Atocha,40.391319274902344,-3.7560880184173584,Metro Station
Campamento,40.3946832,-3.7682788,Metro Empalme,40.39097409524761,-3.765400765904309,Metro Station
Campamento,40.3946832,-3.7682788,Metro Campamento,40.39469807969987,-3.768112063407898,Metro Station
Carmenes,40.3954982,-3.7433534,Metro Laguna,40.399304,-3.744713,Metro Station
Carmenes,40.3954982,-3.7433534,capertina,40.39366912841797,-3.740431070327759,Metro Station
Cuatro Vientos,40.3775814,-3.7924565,Metro Cuatro Vientos,40.378564257682406,-3.792263114462332,Metro Station
Las Aguilas,40.3814589,-3.7803772,Metro Aviación Española,40.38321177732123,-3.7825050785868854,Metro Station
Lucero,40.4048009,-3.7452693,Metro Lucero,40.404656847637106,-3.7450289726257324,Metro Station
Puerta del Angel,40.4137225,-3.7271715,Metro Puerta del Ángel,40.41395093791891,-3.7271787698295147,Metro Station
Arguelles,40.4307053,-3.7163323,Metro Ventura Rodríguez,40.42701706655422,-3.7136279028135784,Metro Station
Arguelles,40.4307053,-3.7163323,Metro Moncloa,40.434569014631734,-3.719026763417271,Metro Station
Arguelles,40.4307053,-3.7163323,Metro Argüelles,40.430423719598075,-3.7159350514411926,Metro Station
Ciudad Universitaria,40.4436804,-3.7268294,Metro Ciudad Universitaria,40.44352553580991,-3.7269016254036664,Metro Station
Valdezarza,40.4649188,-3.7165189,Metro Valdezarza,40.46516416111562,-3.7165144085884094,Metro Station
Media Legua,40.4120952,-3.65700533611857,Metro Estrella,40.411176,-3.659498691558838,Metro Station
Pavones,40.39855825,-3.63232194428938,Metro Pavones,40.40081519047697,-3.6354538872480555,Metro Station
Vinateros,40.40536375,-3.64465811587118,Metro Artilleros,40.40509064824093,-3.638784119897048,Metro Station
Palomeras Sureste,40.3871008,-3.63447280486921,Metro Miguel Hernández,40.38921672415836,-3.639147600530669,Metro Station
Portazgo,40.39037255,-3.64817792782876,Metro Alto del Arenal,40.390381048091065,-3.6453714793911653,Metro Station
Portazgo,40.39037255,-3.64817792782876,Puesto de Mando - Metro de Madrid,40.390054,-3.645932,Metro Station
Adelfas,40.40027955,-3.67176728223261,Metro Pacífico,40.40154621177326,-3.674683426303285,Metro Station
Adelfas,40.40027955,-3.67176728223261,Madrid España,40.402805,-3.6725018,Metro Station
Estrella,40.41441435,-3.66521789344363,Metro Sáinz de Baranda,40.41511923434869,-3.6696249326159633,Metro Station
Ibiza,40.41891775,-3.67409049246932,Metro Ibiza,40.418376133313686,-3.6780330527280696,Metro Station
Los Jeronimos,40.418611,-3.6903516,Metro Banco de España,40.41906508541828,-3.694330973950071,Metro Station
Los Jeronimos,40.418611,-3.6903516,Metro Retiro,40.420759746569594,-3.6858312785625458,Metro Station
Los Jeronimos,40.418611,-3.6903516,Banco,40.4188661,-3.6957962,Metro Station
Los Jeronimos,40.418611,-3.6903516,Lineas 2 y 4 Del Metro,40.418879,-3.695655,Metro Station
Nino Jesus,40.4134414,-3.67333679089834,Metro Sáinz de Baranda,40.41511923434869,-3.6696249326159633,Metro Station
Pacifico,40.4013961,-3.6748832,Metro Pacífico,40.40154621177326,-3.674683426303285,Metro Station
Pacifico,40.4013961,-3.6748832,Madrid España,40.402805,-3.6725018,Metro Station
Castellana,40.43382275,-3.68400358245116,Metro Rubén Darío,40.43317518687901,-3.6892629725673958,Metro Station
Castellana,40.43382275,-3.68400358245116,Metro Núñez de Balboa,40.432794845275744,-3.6830512766863177,Metro Station
Goya,40.4256052,-3.6743653201567,Metro Goya,40.424880505551144,-3.6775498879615336,Metro Station
Goya,40.4256052,-3.6743653201567,Metro Manuel Becerra,40.42662941600543,-3.670250478795358,Metro Station
Goya,40.4256052,-3.6743653201567,Metro Lista,40.42922133754159,-3.675437660394494,Metro Station
Lista,40.43119915,-3.67550565570494,Metro Diego de León,40.43242673606803,-3.673956011278867,Metro Station
Lista,40.43119915,-3.67550565570494,Metro Lista,40.42922133754159,-3.675437660394494,Metro Station
Lista,40.43119915,-3.67550565570494,Metro Madrid Línea 6 Circular,40.429721119378,-3.6772712215486263,Metro Station
Lista,40.43119915,-3.67550565570494,Memar Ecemi Metro Stansiyasi,40.431121826171875,-3.6738998889923096,Metro Station
Recoletos,40.42417315,-3.68548726497414,Metro Retiro,40.420759746569594,-3.6858312785625458,Metro Station
Recoletos,40.42417315,-3.68548726497414,Metro Serrano,40.42539249973215,-3.687638149055557,Metro Station
Recoletos,40.42417315,-3.68548726497414,Metro Velázquez,40.42512215114281,-3.6834772537791345,Metro Station
Amposta,40.4259727,-3.62227306026854,Metro Simancas,40.42910351830321,-3.625755464960067,Metro Station
Arcos,40.4208334,-3.61840635198481,Metro Alsacia,40.41862250047093,-3.6232075275979345,Metro Station
Canillejas,40.4491131,-3.6085862,Metro Canillejas,40.446664172311586,-3.6103852038644666,Metro Station
Hellin,40.4313222,-3.61676886829529,Metro San Blas,40.4278823256518,-3.616024523321678,Metro Station
Simancas,40.43435385,-3.62454824909855,suances,40.43762969970703,-3.623631000518799,Metro Station
Almenara,40.4711927,-3.69208516102331,Metro Ventilla,40.470122654459686,-3.695297072897045,Metro Station
Almenara,40.4711927,-3.69208516102331,puerta de arganda,40.47492599487305,-3.6953794956207275,Metro Station
Bellas Vistas,40.45226305,-3.70744452722191,Metro Estrecho,40.45428,-3.70283,Metro Station
Bellas Vistas,40.45226305,-3.70744452722191,Metro Alvarado,40.450196284794885,-3.7034573794032055,Metro Station
Bellas Vistas,40.45226305,-3.70744452722191,Anden Linea 2 Cuatro Caminos,40.451080322265625,-3.703169345855713,Metro Station
Berruguete,40.4588005,-3.7048308,Metro Tetuán,40.45984402638262,-3.699127795608042,Metro Station
Castillejos,40.4558722,-3.7079658,Metro Estrecho,40.45428,-3.70283,Metro Station
Castillejos,40.4558722,-3.7079658,Metro Francos Rodríguez,40.45768675151557,-3.7111708019737053,Metro Station
Cuatro Caminos,40.4470709,-3.7042421,Metro Cuatro Caminos,40.44654494597261,-3.70363712310791,Metro Station
Cuatro Caminos,40.4470709,-3.7042421,Metro Alvarado,40.450196284794885,-3.7034573794032055,Metro Station
Cuatro Caminos,40.4470709,-3.7042421,Línea Madrid,40.446881,-3.704707,Metro Station
Cuatro Caminos,40.4470709,-3.7042421,Anden Linea 2 Cuatro Caminos,40.451080322265625,-3.703169345855713,Metro Station
Valdeacederas,40.4645454,-3.6950053,Metro Valdeacederas,40.4640985375273,-3.695775300288915,Metro Station
Almendrales,40.3836929,-3.69909586882439,Metro Almendrales,40.384111889901305,-3.6979249179127227,Metro Station
Almendrales,40.3836929,-3.69909586882439,Pegatina de la papelera del metro,40.388,-3.699779,Metro Station
Moscardo,40.3900156,-3.70542433597773,Metro Usera,40.38702531406906,-3.7065448128770853,Metro Station
Orcasur,40.37415595,-3.69876507544298,Metro Hospital 12 de Octubre,40.37544082826299,-3.6958533321987166,Metro Station
San Fermin,40.3719909,-3.69039203316657,Metro San Fermín-Orcasur,40.369840183513745,-3.69415283203125,Metro Station
Ambroz,40.4072756,-3.6007001,Metro San Cipriano,40.4039215567197,-3.6040735244750977,Metro Station
San Andres,40.3455389,-3.7109697,Metro Villaverde Alto,40.341343409976226,-3.7127351760864253,Metro Station
